sqft_lot,price
5650,221900
7242,538000
10000,180000
5000,604000
8080,510000
101930,1.23E+06
6819,257500
9711,291850
7470,229500
6560,323000
9796,662500
6000,468000
19901,310000
9680,400000
4850,530000
5000,650000
14040,395000
4300,485000
9850,189000
9774,230000
4980,385000
44867,2.00E+06
6300,285000
9643,252700
6500,329000
4697,233000
2691,937000
1581,667000
6380,438000
7173,719000
3980,580500
1265,280000
5000,687500
3000,535000
6659,322500
3060,696000
34848,550000
6000,640000
8075,240000
7553,605000
5520,625000
24186,775000
5639,861990
2280,685000
9656,309000
13603,488000
8528,210490
13416,785000
5963,450000
65005,1.35E+06
9199,228000
9134,345000
4080,600000
8550,585000
6000,920000
5000,885000
4495,292500
4750,301000
14342,951000
9976,430000
21235,650000
8400,289000
8690,505000
1044,549000
6000,425000
3809,317625
11049,975000
4648,287000
12070,204000
20158,1.33E+06
50094,1.04E+06
5612,325000
7807,571000
5000,360000
50529,349000
35102,832500
7300,380000
5060,480000
5060,410000
39683,720000
5100,390000
5889,360000
6720,355000
8712,356000
6634,315000
3600,940000
8400,305000
6278,461000
2040,215000
1066,335000
7403,243500
6353,1.10E+06
10500,153000
5000,430000
5000,700000
10250,905000
15681,247500
6400,199000
41800,314000
36847,437500
13241,850830
3478,555000
107593,699950
8113,1.09E+06
33919,290000
10005,375000
4005,460000
2493,188500
28037,680000
12342,470000
9624,597750
3328,570000
12600,272500
5969,329950
16171,480000
6350,740500
1102,518500
6780,205425
9600,171800
2982,535000
6474,660000
9132,391500
6000,395000
4400,445000
10204,770000
17789,1.45E+06
8201,445000
8811,260000
4960,822500
4310,430000
7875,212000
9603,660500
111078,784000
2287,453246
2278,675000
17390,199000
7840,220000
10002,452000
4440,382500
1249,519950
3200,665000
9375,527700
8579,205000
8097,420000
8517,500000
315374,921500
4000,890000
60984,430000
12500,258000
3455,511000
3090,532170
5000,560000
8200,282950
19850,2.25E+06
5100,350000
7669,215000
25245,650000
7500,320000
7198,247000
11180,320000
8632,255000
9660,438000
16603,900000
7280,441000
38332,420000
7000,370000
7250,269950
4499,807100
9750,653000
8336,371500
21000,284000
7140,272000
7912,313000
35003,917500
8190,673000
1100,425000
5400,399950
4800,385000
7560,269950
8220,330000
5797,260000
5125,470000
9600,589000
3419,163500
13412,835000
12850,1.10E+06
10000,269000
8744,560000
2400,615000
10026,585188
9480,305000
8820,166950
9897,799000
7508,400000
10228,230000
5025,256883
6480,423000
4084,465000
66211,440000
155073,385000
11725,210000
14952,297000
5000,470000
7370,226500
8450,274250
11010,840000
4587,677900
5864,425000
9600,180250
3404,464000
7579,320000
1566,625504
12032,592500
17936,465000
6270,477000
16400,280000
33474,1.51E+06
